rank,score,r7,r8,r20,keystream_27
1,22.7546,A,T,I,YYGCKAZATMUYKLGKORNAIBLZCDC
2,22.7546,A,G,I,YYGCKAZAGMUYKLGKORNAIBLZCDC
3,22.7546,A,B,I,YYGCKAZABMUYKLGKORNAIBLZCDC
4,22.5485,A,O,I,YYGCKAZAOMUYKLGKORNAIBLZCDC
5,20.9546,A,T,F,YYGCKAZATMUYKLGKORNAFBLZCDC
6,20.9546,A,G,F,YYGCKAZAGMUYKLGKORNAFBLZCDC
7,20.9546,A,B,F,YYGCKAZABMUYKLGKORNAFBLZCDC
8,20.9485,A,T,P,YYGCKAZATMUYKLGKORNAPBLZCDC
9,20.9485,A,G,P,YYGCKAZAGMUYKLGKORNAPBLZCDC
10,20.9485,A,B,P,YYGCKAZABMUYKLGKORNAPBLZCDC
11,20.7546,A,T,W,YYGCKAZATMUYKLGKORNAWBLZCDC
12,20.7546,A,T,S,YYGCKAZATMUYKLGKORNASBLZCDC
13,20.7546,A,T,O,YYGCKAZATMUYKLGKORNAOBLZCDC
14,20.7546,A,T,L,YYGCKAZATMUYKLGKORNALBLZCDC
15,20.7546,A,M,I,YYGCKAZAMMUYKLGKORNAIBLZCDC
16,20.7546,A,G,W,YYGCKAZAGMUYKLGKORNAWBLZCDC
17,20.7546,A,G,S,YYGCKAZAGMUYKLGKORNASBLZCDC
18,20.7546,A,G,O,YYGCKAZAGMUYKLGKORNAOBLZCDC
19,20.7546,A,G,L,YYGCKAZAGMUYKLGKORNALBLZCDC
20,20.7546,A,B,W,YYGCKAZABMUYKLGKORNAWBLZCDC
21,20.7546,A,B,S,YYGCKAZABMUYKLGKORNASBLZCDC
22,20.7546,A,B,O,YYGCKAZABMUYKLGKORNAOBLZCDC
23,20.7546,A,B,L,YYGCKAZABMUYKLGKORNALBLZCDC
24,20.7505,A,Q,I,YYGCKAZAQMUYKLGKORNAIBLZCDC
25,20.7485,H,P,I,YYGCKAZHPMUYKLGKORNAIBLZCDC
26,20.7485,A,Z,I,YYGCKAZAZMUYKLGKORNAIBLZCDC
27,20.7485,A,T,T,YYGCKAZATMUYKLGKORNATBLZCDC
28,20.7485,A,T,E,YYGCKAZATMUYKLGKORNAEBLZCDC
29,20.7485,A,T,D,YYGCKAZATMUYKLGKORNADBLZCDC
30,20.7485,A,O,F,YYGCKAZAOMUYKLGKORNAFBLZCDC
31,20.7485,A,G,T,YYGCKAZAGMUYKLGKORNATBLZCDC
32,20.7485,A,G,E,YYGCKAZAGMUYKLGKORNAEBLZCDC
33,20.7485,A,G,D,YYGCKAZAGMUYKLGKORNADBLZCDC
34,20.7485,A,B,T,YYGCKAZABMUYKLGKORNATBLZCDC
35,20.7485,A,B,E,YYGCKAZABMUYKLGKORNAEBLZCDC
36,20.7485,A,B,D,YYGCKAZABMUYKLGKORNADBLZCDC
37,20.7443,A,U,I,YYGCKAZAUMUYKLGKORNAIBLZCDC
38,20.7443,A,T,J,YYGCKAZATMUYKLGKORNAJBLZCDC
39,20.7443,A,T,C,YYGCKAZATMUYKLGKORNACBLZCDC
40,20.7443,A,G,J,YYGCKAZAGMUYKLGKORNAJBLZCDC
41,20.7443,A,G,C,YYGCKAZAGMUYKLGKORNACBLZCDC
42,20.7443,A,B,J,YYGCKAZABMUYKLGKORNAJBLZCDC
43,20.7443,A,B,C,YYGCKAZABMUYKLGKORNACBLZCDC
44,20.7423,S,B,I,YYGCKAZSBMUYKLGKORNAIBLZCDC
45,20.7423,A,T,V,YYGCKAZATMUYKLGKORNAVBLZCDC
46,20.7423,A,T,R,YYGCKAZATMUYKLGKORNARBLZCDC
47,20.7423,A,T,M,YYGCKAZATMUYKLGKORNAMBLZCDC
48,20.7423,A,T,H,YYGCKAZATMUYKLGKORNAHBLZCDC
49,20.7423,A,O,P,YYGCKAZAOMUYKLGKORNAPBLZCDC
50,20.7423,A,G,V,YYGCKAZAGMUYKLGKORNAVBLZCDC
51,20.7423,A,G,R,YYGCKAZAGMUYKLGKORNARBLZCDC
52,20.7423,A,G,M,YYGCKAZAGMUYKLGKORNAMBLZCDC
53,20.7423,A,G,H,YYGCKAZAGMUYKLGKORNAHBLZCDC
54,20.7423,A,B,V,YYGCKAZABMUYKLGKORNAVBLZCDC
55,20.7423,A,B,R,YYGCKAZABMUYKLGKORNARBLZCDC
56,20.7423,A,B,M,YYGCKAZABMUYKLGKORNAMBLZCDC
57,20.7423,A,B,H,YYGCKAZABMUYKLGKORNAHBLZCDC
58,20.7361,S,Y,I,YYGCKAZSYMUYKLGKORNAIBLZCDC
59,20.7361,S,I,I,YYGCKAZSIMUYKLGKORNAIBLZCDC
60,20.7361,A,T,Y,YYGCKAZATMUYKLGKORNAYBLZCDC
61,20.7361,A,T,U,YYGCKAZATMUYKLGKORNAUBLZCDC
62,20.7361,A,T,K,YYGCKAZATMUYKLGKORNAKBLZCDC
63,20.7361,A,T,B,YYGCKAZATMUYKLGKORNABBLZCDC
64,20.7361,A,G,Y,YYGCKAZAGMUYKLGKORNAYBLZCDC
65,20.7361,A,G,U,YYGCKAZAGMUYKLGKORNAUBLZCDC
66,20.7361,A,G,K,YYGCKAZAGMUYKLGKORNAKBLZCDC
67,20.7361,A,G,B,YYGCKAZAGMUYKLGKORNABBLZCDC
68,20.7361,A,B,Y,YYGCKAZABMUYKLGKORNAYBLZCDC
69,20.7361,A,B,U,YYGCKAZABMUYKLGKORNAUBLZCDC
70,20.7361,A,B,K,YYGCKAZABMUYKLGKORNAKBLZCDC
71,20.7361,A,B,B,YYGCKAZABMUYKLGKORNABBLZCDC
72,20.734,A,T,Z,YYGCKAZATMUYKLGKORNAZBLZCDC
73,20.734,A,T,G,YYGCKAZATMUYKLGKORNAGBLZCDC
74,20.734,A,G,Z,YYGCKAZAGMUYKLGKORNAZBLZCDC
75,20.734,A,G,G,YYGCKAZAGMUYKLGKORNAGBLZCDC
76,20.734,A,B,Z,YYGCKAZABMUYKLGKORNAZBLZCDC
77,20.734,A,B,G,YYGCKAZABMUYKLGKORNAGBLZCDC
78,20.732,A,T,Q,YYGCKAZATMUYKLGKORNAQBLZCDC
79,20.732,A,T,A,YYGCKAZATMUYKLGKORNAABLZCDC
80,20.732,A,G,Q,YYGCKAZAGMUYKLGKORNAQBLZCDC
81,20.732,A,G,A,YYGCKAZAGMUYKLGKORNAABLZCDC
82,20.732,A,B,Q,YYGCKAZABMUYKLGKORNAQBLZCDC
83,20.732,A,B,A,YYGCKAZABMUYKLGKORNAABLZCDC
84,20.7278,A,T,X,YYGCKAZATMUYKLGKORNAXBLZCDC
85,20.7278,A,T,N,YYGCKAZATMUYKLGKORNANBLZCDC
86,20.7278,A,G,X,YYGCKAZAGMUYKLGKORNAXBLZCDC
87,20.7278,A,G,N,YYGCKAZAGMUYKLGKORNANBLZCDC
88,20.7278,A,B,X,YYGCKAZABMUYKLGKORNAXBLZCDC
89,20.7278,A,B,N,YYGCKAZABMUYKLGKORNANBLZCDC
90,20.7258,S,V,I,YYGCKAZSVMUYKLGKORNAIBLZCDC
91,20.5546,A,N,I,YYGCKAZANMUYKLGKORNAIBLZCDC
92,20.5505,A,C,I,YYGCKAZACMUYKLGKORNAIBLZCDC
93,20.5485,X,O,I,YYGCKAZXOMUYKLGKORNAIBLZCDC
94,20.5485,A,Y,I,YYGCKAZAYMUYKLGKORNAIBLZCDC
95,20.5485,A,P,I,YYGCKAZAPMUYKLGKORNAIBLZCDC
96,20.5485,A,O,W,YYGCKAZAOMUYKLGKORNAWBLZCDC
97,20.5485,A,O,S,YYGCKAZAOMUYKLGKORNASBLZCDC
98,20.5485,A,O,O,YYGCKAZAOMUYKLGKORNAOBLZCDC
99,20.5485,A,O,L,YYGCKAZAOMUYKLGKORNALBLZCDC
100,20.5485,A,I,I,YYGCKAZAIMUYKLGKORNAIBLZCDC
